"emtak","tegevusala"
"01","Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad"
"011","Üheaastaste põllukultuuride kasvatus"
"0111","Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus"
"01111","Teravilja- (v.a riis) ja kaunviljakasvatus; õlitaimeseemnete kasvatus"
"0112","Riisikasvatus"
"01121","Riisikasvatus"
"0113","Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus"
"01131","Köögivilja- (sh kõrvitsaliste), juurvilja- ja mugulviljakasvatus, k.a seenekasvatus"
"0114","Suhkrurookasvatus"
"01141","Suhkrurookasvatus (v.a suhkrupeet)"
"0115","Tubakakasvatus"
"01151","Tubakakasvatus"
"0116","Kiutaimekasvatus"
"01161","Kiutaimekasvatus"
"0119","Muude üheaastaste põllukultuuride kasvatus"
"01191","Lillekasvatus"
"01199","Söödakultuuri- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus"
"012","Mitmeaastaste taimede kasvatus"
"0121","Viinamarjakasvatus"
"01211","Viinamarjakasvatus"
"0122","Troopiliste ja subtroopiliste viljade kasvatus"
"01221","Troopiliste ja subtroopiliste viljade kasvatus"
"0123","Tsitruseliste kasvatus"
"01231","Tsitruseliste kasvatus"
"0124","Õun- ja luuviljaliste puuviljade kasvatus"
"01241","Õun- ja luuviljaliste puuviljade kasvatus"
"0125","Muu puuvilja-, marja- ning pähklikasvatus"
"01251","Muu puuvilja-, marja- ning pähklikasvatus"
"0126","Õlitaimekasvatus"
"01261","Õlitaimekasvatus"
"0127","Joogitaimekasvatus"
"01271","Joogitaimekasvatus"
"0128","Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus"
"01281","Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus"
"0129","Muude mitmeaastaste taimede kasvatus"
"01291","Muude mitmeaastaste taimede kasvatus"
"013","Taimede paljundamine"
"0130","Taimede paljundamine"
"01301","Taimede paljundamine"
"014","Loomakasvatus"
"0141","Piimakarjakasvatus"
"01411","Piimakarjakasvatus"
"0142","Muu veislaste ja pühvlikasvatus"
"01421","Muu veise- ja pühvlikasvatus"
"0143","Hobusekasvatus ja muude hobuslaste kasvatus"
"01431","Hobusekasvatus ja muude hobuslaste kasvatus"
"0144","Kaamelikasvatus"
"01441","Kaamelikasvatus"
"0145","Lamba- ja kitsekasvatus"
"01451","Lamba- ja kitsekasvatus"
"0146","Seakasvatus"
"01461","Seakasvatus"
"0147","Kodulinnukasvatus"
"01471","Kodulinnukasvatus"
"0149","Muu loomakasvatus"
"01491","Mesindus"
"01499","Muu loomakasvatus"
"015","Segapõllumajandus"
"0150","Segapõllumajandus"
"01501","Segapõllumajandus"
"016","Põllumajandust abistavad tegevusalad ja saagikoristusjärgsed tegevused"
"0161","Taimekasvatuse abitegevused"
"01611","Taimekasvatuse abitegevused"
"0162","Loomakasvatuse abitegevused"
"01621","Loomakasvatuse abitegevused"
"0163","Saagikoristusjärgsed tegevused"
"01631","Saagikoristusjärgsed tegevused"
"0164","Seemnete töötlemine paljundamiseks"
"01641","Seemnete töötlemine paljundamiseks"
"017","Jahindus ja seda teenindavad tegevusalad"
"0170","Jahindus ja seda teenindavad tegevusalad"
"01701","Jahindus ja seda teenindavad tegevusalad"
"02","Metsamajandus ja metsavarumine"
"021","Metsakasvatus ja muud metsamajanduse tegevusalad"
"0210","Metsakasvatus ja muud metsamajanduse tegevusalad"
"02101","Metsakasvatus ja muud metsamajanduse tegevusalad"
"022","Metsavarumine"
"0220","Metsavarumine"
"02201","Metsavarumine"
"02202","Küttepuude tootmine"
"023","Looduslike materjalide kogumine, v.a puit"
"0230","Looduslike materjalide kogumine, v.a puit"
"02301","Looduslike materjalide kogumine, v.a puit"
"024","Metsamajandust abistavad tegevused"
"0240","Metsamajandust abistavad tegevused"
"02401","Metsamajandust abistavad tegevused"
"03","Kalapüük ja vesiviljelus"
"031","Kalapüük"
"0311","Merekalapüük"
"03111","Merekalapüük"
"0312","Mageveekalapüük"
"03121","Mageveekalapüük"
"032","Vesiviljelus"
"0321","Mere-vesiviljelus"
"03211","Mere-vesiviljelus"
"0322","Magevee-vesiviljelus"
"03221","Magevee-vesiviljelus"
"05","Kivi- ja pruunsöe kaevandamine"
"051","Kivisöe kaevandamine"
"0510","Kivisöe kaevandamine"
"05101","Kivisöe kaevandamine"
"052","Pruunsöe kaevandamine"
"0520","Pruunsöe kaevandamine"
"05201","Pruunsöe kaevandamine"
"06","Toornafta ja maagaasi tootmine"
"061","Toornafta tootmine"
"0610","Toornafta tootmine"
"06101","Põlevkivi kaevandamine ja toornafta tootmine"
"062","Maagaasi tootmine"
"0620","Maagaasi tootmine"
"06201","Maagaasi tootmine"
"07","Metallimaakide kaevandamine"
"071","Rauamaagi kaevandamine"
"0710","Rauamaagi kaevandamine"
"07101","Rauamaagi kaevandamine"
"072","Mitteraudmetallide maakide kaevandamine"
"0721","Uraani- ja tooriumimaagi kaevandamine"
"07211","Uraani- ja tooriumimaagi kaevandamine"
"0729","Muude mitteraudmetallide maakide kaevandamine"
"07291","Muude mitteraudmetallide maakide kaevandamine"
"08","Muu kaevandamine"
"081","Kivi, liiva ja savi kaevandamine"
"0811","Dekoratiiv- ja ehituskivi, lubjakivi, kipsi, kriidi ja kiltkivi kaevandamine"
"08111","Dekoratiiv- ja ehituskivi, lubjakivi, kipsi, kriidi ja kiltkivi kaevandamine"
"0812","Kruusa- ja liivakarjääride tegevus; savi ja kaoliini kaevandamine"
"08121","Kruusa- ja liivakarjääride tegevus; savi ja kaoliini kaevandamine"
"08122","Killustiku tootmine"
"089","Mujal liigitamata kaevandamine"
"0891","Kemikaalide ja mineraalväetiste toorme kaevandamine"
"08911","Kemikaalide ja mineraalväetiste toorme kaevandamine"
"0892","Turba tootmine"
"08921","Turba tootmine"
"0893","Soola kaevandamine"
"08931","Soola kaevandamine"
"0899","Muu mujal liigitamata kaevandamine"
"08991","Muu mujal liigitamata kaevandamine"
"09","Kaevandamist abistavad tegevusalad"
"091","Nafta ja maagaasi tootmist abistavad tegevusalad"
"0910","Nafta ja maagaasi tootmist abistavad tegevusalad"
"09101","Nafta ja maagaasi tootmist abistavad tegevusalad"
"099","Muud kaevandamist abistavad tegevusalad"
"0990","Muud kaevandamist abistavad tegevusalad"
"09901","Muud kaevandamist abistavad tegevusalad"
10,"Toiduainete tootmine"
101,"Liha töötlemine ja säilitamine ning lihatoodete tootmine"
1011,"Liha töötlemine ja säilitamine"
10111,"Liha töötlemine ja säilitamine, k.a tapamajade tegevus"
1012,"Linnuliha töötlemine ja säilitamine"
